ShipName;ShipAddress;ShipCity;ShipRegion;ShipPostalCode;ShipCountry;CustomerID;CustomerName;Address;City;Region;PostalCode;Country;Salesperson;OrderID;OrderDate;RequiredDate;ShippedDate;ShipperName;ProductID;ProductName;UnitPrice;Quantity;Discount;ExtendedPrice;Freight
Richter Supermarkt;Starenweg 5;Gen�ve;;1204;Switzerland;RICSU;Richter Supermarkt;Grenzacherweg 237;Gen�ve;;1203;Switzerland;Anne Dodsworth;10255;7/12/1996;8/9/1996;7/15/1996;Federal Shipping;59;Raclette Courdavault;44;30;0;1320;148.33
Wellington Importadora;"Rua do Mercado, 12";Resende;SP;08737-363;Brazil;WELLI;Wellington Importadora;"Rua do Mercado, 12";Resende;SP;08737-363;Brazil;Janet Leverling;10256;7/15/1996;8/12/1996;7/17/1996;United Package;53;Perth Pasties;26.2;15;0;393;13.97
Wellington Importadora;"Rua do Mercado, 12";Resende;SP;08737-363;Brazil;WELLI;Wellington Importadora;"Rua do Mercado, 12";Resende;SP;08737-363;Brazil;Janet Leverling;10256;7/15/1996;8/12/1996;7/17/1996;United Package;77;Original Frankfurter gr�ne So�e;10.4;12;0;124.8;13.97
HILARION-Abastos;Carrera 22 con Ave. Carlos Soublette #8-35;San Crist�bal;T�chira;5022;Venezuela;HILAA;HILARION-Abastos;Carrera 22 con Ave. Carlos Soublette #8-35;San Crist�bal;T�chira;5022;Venezuela;Margaret Peacock;10257;7/16/1996;8/13/1996;7/22/1996;Federal Shipping;27;Schoggi Schokolade;35.1;25;0;877.5;81.91
HILARION-Abastos;Carrera 22 con Ave. Carlos Soublette #8-35;San Crist�bal;T�chira;5022;Venezuela;HILAA;HILARION-Abastos;Carrera 22 con Ave. Carlos Soublette #8-35;San Crist�bal;T�chira;5022;Venezuela;Margaret Peacock;10257;7/16/1996;8/13/1996;7/22/1996;Federal Shipping;39;Chartreuse verte;14.4;6;0;86.4;81.91
HILARION-Abastos;Carrera 22 con Ave. Carlos Soublette #8-35;San Crist�bal;T�chira;5022;Venezuela;HILAA;HILARION-Abastos;Carrera 22 con Ave. Carlos Soublette #8-35;San Crist�bal;T�chira;5022;Venezuela;Margaret Peacock;10257;7/16/1996;8/13/1996;7/22/1996;Federal Shipping;77;Original Frankfurter gr�ne So�e;10.4;15;0;156;81.91
Ernst Handel;Kirchgasse 6;Graz;;8010;Austria;ERNSH;Ernst Handel;Kirchgasse 6;Graz;;8010;Austria;Nancy Davolio;10258;7/17/1996;8/14/1996;7/23/1996;Speedy Express;2;Chang;15.2;50;0.2;608;140.51
Ernst Handel;Kirchgasse 6;Graz;;8010;Austria;ERNSH;Ernst Handel;Kirchgasse 6;Graz;;8010;Austria;Nancy Davolio;10258;7/17/1996;8/14/1996;7/23/1996;Speedy Express;5;Chef Anton's Gumbo Mix;17;65;0.2;884;140.51
Ernst Handel;Kirchgasse 6;Graz;;8010;Austria;ERNSH;Ernst Handel;Kirchgasse 6;Graz;;8010;Austria;Nancy Davolio;10258;7/17/1996;8/14/1996;7/23/1996;Speedy Express;32;Mascarpone Fabioli;25.6;6;0.2;122.88;140.51
Centro comercial Moctezuma;Sierras de Granada 9993;M�xico D.F.;;5022;Mexico;CENTC;Centro comercial Moctezuma;Sierras de Granada 9993;M�xico D.F.;;5022;Mexico;Margaret Peacock;10259;7/18/1996;8/15/1996;7/25/1996;Federal Shipping;21;Sir Rodney's Scones;8;10;0;80;3.25
Centro comercial Moctezuma;Sierras de Granada 9993;M�xico D.F.;;5022;Mexico;CENTC;Centro comercial Moctezuma;Sierras de Granada 9993;M�xico D.F.;;5022;Mexico;Margaret Peacock;10259;7/18/1996;8/15/1996;7/25/1996;Federal Shipping;37;Gravad lax;20.8;1;0;20.8;3.25
Ottilies K�seladen;Mehrheimerstr. 369;K�ln;;50739;Germany;OTTIK;Ottilies K�seladen;Mehrheimerstr. 369;K�ln;;50739;Germany;Margaret Peacock;10260;7/19/1996;8/16/1996;7/29/1996;Speedy Express;41;Jack's New England Clam Chowder;7.7;16;0.25;92.4;55.09
Ottilies K�seladen;Mehrheimerstr. 369;K�ln;;50739;Germany;OTTIK;Ottilies K�seladen;Mehrheimerstr. 369;K�ln;;50739;Germany;Margaret Peacock;10260;7/19/1996;8/16/1996;7/29/1996;Speedy Express;57;Ravioli Angelo;15.6;50;0;780;55.09
Ottilies K�seladen;Mehrheimerstr. 369;K�ln;;50739;Germany;OTTIK;Ottilies K�seladen;Mehrheimerstr. 369;K�ln;;50739;Germany;Margaret Peacock;10260;7/19/1996;8/16/1996;7/29/1996;Speedy Express;62;Tarte au sucre;39.4;15;0.25;443.25;55.09
Ottilies K�seladen;Mehrheimerstr. 369;K�ln;;50739;Germany;OTTIK;Ottilies K�seladen;Mehrheimerstr. 369;K�ln;;50739;Germany;Margaret Peacock;10260;7/19/1996;8/16/1996;7/29/1996;Speedy Express;70;Outback Lager;12;21;0.25;189;55.09
Que Del�cia;"Rua da Panificadora, 12";Rio de Janeiro;RJ;02389-673;Brazil;QUEDE;Que Del�cia;"Rua da Panificadora, 12";Rio de Janeiro;RJ;02389-673;Brazil;Margaret Peacock;10261;7/19/1996;8/16/1996;7/30/1996;United Package;21;Sir Rodney's Scones;8;20;0;160;3.05
Que Del�cia;"Rua da Panificadora, 12";Rio de Janeiro;RJ;02389-673;Brazil;QUEDE;Que Del�cia;"Rua da Panificadora, 12";Rio de Janeiro;RJ;02389-673;Brazil;Margaret Peacock;10261;7/19/1996;8/16/1996;7/30/1996;United Package;35;Steeleye Stout;14.4;20;0;288;3.05
Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA;RATTC;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA;Laura Callahan;10262;7/22/1996;8/19/1996;7/25/1996;Federal Shipping;5;Chef Anton's Gumbo Mix;17;12;0.2;163.2;48.29
Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA;RATTC;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA;Laura Callahan;10262;7/22/1996;8/19/1996;7/25/1996;Federal Shipping;7;Uncle Bob's Organic Dried Pears;24;15;0;360;48.29
Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA;RATTC;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA;Laura Callahan;10262;7/22/1996;8/19/1996;7/25/1996;Federal Shipping;56;Gnocchi di nonna Alice;30.4;2;0;60.8;48.29
Ernst Handel;Kirchgasse 6;Graz;;8010;Austria;ERNSH;Ernst Handel;Kirchgasse 6;Graz;;8010;Austria;Anne Dodsworth;10263;7/23/1996;8/20/1996;7/31/1996;Federal Shipping;16;Pavlova;13.9;60;0.25;625.5;146.06
Ernst Handel;Kirchgasse 6;Graz;;8010;Austria;ERNSH;Ernst Handel;Kirchgasse 6;Graz;;8010;Austria;Anne Dodsworth;10263;7/23/1996;8/20/1996;7/31/1996;Federal Shipping;24;Guaran� Fant�stica;3.6;28;0;100.8;146.06
Ernst Handel;Kirchgasse 6;Graz;;8010;Austria;ERNSH;Ernst Handel;Kirchgasse 6;Graz;;8010;Austria;Anne Dodsworth;10263;7/23/1996;8/20/1996;7/31/1996;Federal Shipping;30;Nord-Ost Matjeshering;20.7;60;0.25;931.5;146.06
Ernst Handel;Kirchgasse 6;Graz;;8010;Austria;ERNSH;Ernst Handel;Kirchgasse 6;Graz;;8010;Austria;Anne Dodsworth;10263;7/23/1996;8/20/1996;7/31/1996;Federal Shipping;74;Longlife Tofu;8;36;0.25;216;146.06
Folk och f� HB;�kergatan 24;Br�cke;;S-844 67;Sweden;FOLKO;Folk och f� HB;�kergatan 24;Br�cke;;S-844 67;Sweden;Michael Suyama;10264;7/24/1996;8/21/1996;8/23/1996;Federal Shipping;2;Chang;15.2;35;0;532;3.67
Folk och f� HB;�kergatan 24;Br�cke;;S-844 67;Sweden;FOLKO;Folk och f� HB;�kergatan 24;Br�cke;;S-844 67;Sweden;Michael Suyama;10264;7/24/1996;8/21/1996;8/23/1996;Federal Shipping;41;Jack's New England Clam Chowder;7.7;25;0.15000001;163.63;3.67
Blondel p�re et fils;"24, place Kl�ber";Strasbourg;;67000;France;BLONP;Blondesddsl p�re et fils;"24, place Kl�ber";Strasbourg;;67000;France;Andrew Fuller;10265;7/25/1996;8/22/1996;8/12/1996;Speedy Express;17;Alice Mutton;31.2;30;0;936;55.28
Blondel p�re et fils;"24, place Kl�ber";Strasbourg;;67000;France;BLONP;Blondesddsl p�re et fils;"24, place Kl�ber";Strasbourg;;67000;France;Andrew Fuller;10265;7/25/1996;8/22/1996;8/12/1996;Speedy Express;70;Outback Lager;12;20;0;240;55.28
Wartian Herkku;Torikatu 38;Oulu;;90110;Finland;WARTH;Wartian Herkku;Torikatu 38;Oulu;;90110;Finland;Janet Leverling;10266;7/26/1996;9/6/1996;7/31/1996;Federal Shipping;12;Queso Manchego La Pastora;30.4;12;5.00E-02;346.56;25.73
Frankenversand;Berliner Platz 43;M�nchen;;80805;Germany;FRANK;Frankenversand;Berliner Platz 43;M�nchen;;80805;Germany;Margaret Peacock;10267;7/29/1996;8/26/1996;8/6/1996;Speedy Express;40;Boston Crab Meat;14.7;50;0;735;208.58
Frankenversand;Berliner Platz 43;M�nchen;;80805;Germany;FRANK;Frankenversand;Berliner Platz 43;M�nchen;;80805;Germany;Margaret Peacock;10267;7/29/1996;8/26/1996;8/6/1996;Speedy Express;59;Raclette Courdavault;44;70;0.15000001;2618;208.58
Frankenversand;Berliner Platz 43;M�nchen;;80805;Germany;FRANK;Frankenversand;Berliner Platz 43;M�nchen;;80805;Germany;Margaret Peacock;10267;7/29/1996;8/26/1996;8/6/1996;Speedy Express;76;Lakkalik��ri;14.4;15;0.15000001;183.6;208.58
GROSELLA-Restaurante;5� Ave. Los Palos Grandes;Caracas;DF;1081;Venezuela;GROSR;GROSELLA-Restaurante;5� Ave. Los Palos Grandes;Caracas;DF;1081;Venezuela;Laura Callahan;10268;7/30/1996;8/27/1996;8/2/1996;Federal Shipping;29;Th�ringer Rostbratwurst;99;10;0;990;66.29
GROSELLA-Restaurante;5� Ave. Los Palos Grandes;Caracas;DF;1081;Venezuela;GROSR;GROSELLA-Restaurante;5� Ave. Los Palos Grandes;Caracas;DF;1081;Venezuela;Laura Callahan;10268;7/30/1996;8/27/1996;8/2/1996;Federal Shipping;72;Mozzarella di Giovanni;27.8;4;0;111.2;66.29
White Clover Markets;1029 - 12th Ave. S.;Seattle;WA;98124;USA;WHITC;White Clover Markets;305 - 14th Ave. S. Suite 3B;Seattle;WA;98128;USA;Steven Buchanan;10269;7/31/1996;8/14/1996;8/9/1996;Speedy Express;33;Geitost;2;60;5.00E-02;114;4.56
White Clover Markets;1029 - 12th Ave. S.;Seattle;WA;98124;USA;WHITC;White Clover Markets;305 - 14th Ave. S. Suite 3B;Seattle;WA;98128;USA;Steven Buchanan;10269;7/31/1996;8/14/1996;8/9/1996;Speedy Express;72;Mozzarella di Giovanni;27.8;20;5.00E-02;528.2;4.56
Wartian Herkku;Torikatu 38;Oulu;;90110;Finland;WARTH;Wartian Herkku;Torikatu 38;Oulu;;90110;Finland;Nancy Davolio;10270;8/1/1996;8/29/1996;8/2/1996;Speedy Express;36;Inlagd Sill;15.2;30;0;456;136.54
Wartian Herkku;Torikatu 38;Oulu;;90110;Finland;WARTH;Wartian Herkku;Torikatu 38;Oulu;;90110;Finland;Nancy Davolio;10270;8/1/1996;8/29/1996;8/2/1996;Speedy Express;43;Ipoh Coffee;36.8;25;0;920;136.54
Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA;SPLIR;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA;Michael Suyama;10271;8/1/1996;8/29/1996;8/30/1996;United Package;33;Geitost;2;24;0;48;4.54
Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA;RATTC;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA;Michael Suyama;10272;8/2/1996;8/30/1996;8/6/1996;United Package;20;Sir Rodney's Marmalade;64.8;6;0;388.8;98.03
Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA;RATTC;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA;Michael Suyama;10272;8/2/1996;8/30/1996;8/6/1996;United Package;31;Gorgonzola Telino;10;40;0;400;98.03
Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA;RATTC;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA;Michael Suyama;10272;8/2/1996;8/30/1996;8/6/1996;United Package;72;Mozzarella di Giovanni;27.8;24;0;667.2;98.03
QUICK-Stop;Taucherstra�e 10;Cunewalde;;1307;Germany;QUICK;QUICK-Stop;Taucherstra�e 10;Cunewalde;;1307;Germany;Janet Leverling;10273;8/5/1996;9/2/1996;8/12/1996;Federal Shipping;10;Ikura;24.8;24;5.00E-02;565.44;76.07
QUICK-Stop;Taucherstra�e 10;Cunewalde;;1307;Germany;QUICK;QUICK-Stop;Taucherstra�e 10;Cunewalde;;1307;Germany;Janet Leverling;10273;8/5/1996;9/2/1996;8/12/1996;Federal Shipping;31;Gorgonzola Telino;10;15;5.00E-02;142.5;76.07
QUICK-Stop;Taucherstra�e 10;Cunewalde;;1307;Germany;QUICK;QUICK-Stop;Taucherstra�e 10;Cunewalde;;1307;Germany;Janet Leverling;10273;8/5/1996;9/2/1996;8/12/1996;Federal Shipping;33;Geitost;2;20;0;40;76.07
QUICK-Stop;Taucherstra�e 10;Cunewalde;;1307;Germany;QUICK;QUICK-Stop;Taucherstra�e 10;Cunewalde;;1307;Germany;Janet Leverling;10273;8/5/1996;9/2/1996;8/12/1996;Federal Shipping;40;Boston Crab Meat;14.7;60;5.00E-02;837.9;76.07
QUICK-Stop;Taucherstra�e 10;Cunewalde;;1307;Germany;QUICK;QUICK-Stop;Taucherstra�e 10;Cunewalde;;1307;Germany;Janet Leverling;10273;8/5/1996;9/2/1996;8/12/1996;Federal Shipping;76;Lakkalik��ri;14.4;33;5.00E-02;451.44;76.07
Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;;51100;France;VINET;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;;51100;France;Michael Suyama;10274;8/6/1996;9/3/1996;8/16/1996;Speedy Express;71;Flotemysost;17.2;20;0;344;6.01
Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;;51100;France;VINET;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;;51100;France;Michael Suyama;10274;8/6/1996;9/3/1996;8/16/1996;Speedy Express;72;Mozzarella di Giovanni;27.8;7;0;194.6;6.01
Magazzini Alimentari Riuniti;Via Ludovico il Moro 22;Bergamo;;24100;Italy;MAGAA;Magazzini Alimentari Riuniti;Via Ludovico il Moro 22;Bergamo;;24100;Italy;Nancy Davolio;10275;8/7/1996;9/4/1996;8/9/1996;Speedy Express;24;Guaran� Fant�stica;3.6;12;5.00E-02;41.04;26.93
Magazzini Alimentari Riuniti;Via Ludovico il Moro 22;Bergamo;;24100;Italy;MAGAA;Magazzini Alimentari Riuniti;Via Ludovico il Moro 22;Bergamo;;24100;Italy;Nancy Davolio;10275;8/7/1996;9/4/1996;8/9/1996;Speedy Express;59;Raclette Courdavault;44;6;5.00E-02;250.8;26.93
Tortuga Restaurante;Avda. Azteca 123;M�xico D.F.;;5033;Mexico;TORTU;Tortuga Restaurante;Avda. Azteca 123;M�xico D.F.;;5033;Mexico;Laura Callahan;10276;8/8/1996;8/22/1996;8/14/1996;Federal Shipping;10;Ikura;24.8;15;0;372;13.84
Tortuga Restaurante;Avda. Azteca 123;M�xico D.F.;;5033;Mexico;TORTU;Tortuga Restaurante;Avda. Azteca 123;M�xico D.F.;;5033;Mexico;Laura Callahan;10276;8/8/1996;8/22/1996;8/14/1996;Federal Shipping;13;Konbu;4.8;10;0;48;13.84
Morgenstern Gesundkost;Heerstr. 22;Leipzig;;4179;Germany;MORGK;Morgenstern Gesundkost;Heerstr. 22;Leipzig;;4179;Germany;Andrew Fuller;10277;8/9/1996;9/6/1996;8/13/1996;Federal Shipping;28;R�ssle Sauerkraut;36.4;20;0;728;125.77
Morgenstern Gesundkost;Heerstr. 22;Leipzig;;4179;Germany;MORGK;Morgenstern Gesundkost;Heerstr. 22;Leipzig;;4179;Germany;Andrew Fuller;10277;8/9/1996;9/6/1996;8/13/1996;Federal Shipping;62;Tarte au sucre;39.4;12;0;472.8;125.77
Berglunds snabbk�p;Berguvsv�gen  8;Lule�;;S-958 22;Sweden;BERGS;Berglunds snabbk�p;Berguvsv�gen  8;Lule�;;S-958 22;Sweden;Laura Callahan;10278;8/12/1996;9/9/1996;8/16/1996;United Package;44;Gula Malacca;15.5;16;0;248;92.69
Berglunds snabbk�p;Berguvsv�gen  8;Lule�;;S-958 22;Sweden;BERGS;Berglunds snabbk�p;Berguvsv�gen  8;Lule�;;S-958 22;Sweden;Laura Callahan;10278;8/12/1996;9/9/1996;8/16/1996;United Package;59;Raclette Courdavault;44;15;0;660;92.69
Berglunds snabbk�p;Berguvsv�gen  8;Lule�;;S-958 22;Sweden;BERGS;Berglunds snabbk�p;Berguvsv�gen  8;Lule�;;S-958 22;Sweden;Laura Callahan;10278;8/12/1996;9/9/1996;8/16/1996;United Package;63;Vegie-spread;35.1;8;0;280.8;92.69
Berglunds snabbk�p;Berguvsv�gen  8;Lule�;;S-958 22;Sweden;BERGS;Berglunds snabbk�p;Berguvsv�gen  8;Lule�;;S-958 22;Sweden;Laura Callahan;10278;8/12/1996;9/9/1996;8/16/1996;United Package;73;R�d Kaviar;12;25;0;300;92.69
Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;;60528;Germany;LEHMS;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;;60528;Germany;Laura Callahan;10279;8/13/1996;9/10/1996;8/16/1996;United Package;17;Alice Mutton;31.2;15;0.25;351;25.83
Berglunds snabbk�p;Berguvsv�gen  8;Lule�;;S-958 22;Sweden;BERGS;Berglunds snabbk�p;Berguvsv�gen  8;Lule�;;S-958 22;Sweden;Andrew Fuller;10280;8/14/1996;9/11/1996;9/12/1996;Speedy Express;24;Guaran� Fant�stica;3.6;12;0;43.2;8.98
Berglunds snabbk�p;Berguvsv�gen  8;Lule�;;S-958 22;Sweden;BERGS;Berglunds snabbk�p;Berguvsv�gen  8;Lule�;;S-958 22;Sweden;Andrew Fuller;10280;8/14/1996;9/11/1996;9/12/1996;Speedy Express;55;P�t� chinois;19.2;20;0;384;8.98
Berglunds snabbk�p;Berguvsv�gen  8;Lule�;;S-958 22;Sweden;BERGS;Berglunds snabbk�p;Berguvsv�gen  8;Lule�;;S-958 22;Sweden;Andrew Fuller;10280;8/14/1996;9/11/1996;9/12/1996;Speedy Express;75;Rh�nbr�u Klosterbier;6.2;30;0;186;8.98
Romero y tomillo;"Gran V�a, 1";Madrid;;28001;Spain;ROMEY;Romero y tomillo;"Gran V�a, 1";Madrid;;28001;Spain;Margaret Peacock;10281;8/14/1996;8/28/1996;8/21/1996;Speedy Express;19;Teatime Chocolate Biscuits;7.3;1;0;7.3;2.94
Romero y tomillo;"Gran V�a, 1";Madrid;;28001;Spain;ROMEY;Romero y tomillo;"Gran V�a, 1";Madrid;;28001;Spain;Margaret Peacock;10281;8/14/1996;8/28/1996;8/21/1996;Speedy Express;24;Guaran� Fant�stica;3.6;6;0;21.6;2.94
Romero y tomillo;"Gran V�a, 1";Madrid;;28001;Spain;ROMEY;Romero y tomillo;"Gran V�a, 1";Madrid;;28001;Spain;Margaret Peacock;10281;8/14/1996;8/28/1996;8/21/1996;Speedy Express;35;Steeleye Stout;14.4;4;0;57.6;2.94
Romero y tomillo;"Gran V�a, 1";Madrid;;28001;Spain;ROMEY;Romero y tomillo;"Gran V�a, 1";Madrid;;28001;Spain;Margaret Peacock;10282;8/15/1996;9/12/1996;8/21/1996;Speedy Express;30;Nord-Ost Matjeshering;20.7;6;0;124.2;12.69
Romero y tomillo;"Gran V�a, 1";Madrid;;28001;Spain;ROMEY;Romero y tomillo;"Gran V�a, 1";Madrid;;28001;Spain;Margaret Peacock;10282;8/15/1996;9/12/1996;8/21/1996;Speedy Express;57;Ravioli Angelo;15.6;2;0;31.2;12.69
